Frequency,Power
10950000.000000,190.678478
10958000.000000,439.915735
10966000.000000,63.975131
10974000.000000,83.894592
10982000.000000,466.143189
10990000.000000,302.260457
10998000.000000,400.925209
11006000.000000,233.240863
11014000.000000,113.432213
11022000.000000,246.512090
11030000.000000,485.871729
11038000.000000,230.172232
11046000.000000,521.238926
11054000.000000,484.910746
11062000.000000,295.510597
11070000.000000,850.376258
11078000.000000,5963.648704
11086000.000000,1454.617391
11094000.000000,803.434611
11102000.000000,888.137037
11110000.000000,499.994223
11118000.000000,670.740532
11126000.000000,1104.766581
11134000.000000,556.727559
11142000.000000,2516.155443
11150000.000000,1297.315205
11158000.000000,1751.168332
11166000.000000,4352.148457
11174000.000000,669.772347
11182000.000000,334.307283
11190000.000000,263.400272
11198000.000000,164.803559
11206000.000000,266.123504
11214000.000000,486.149209
11222000.000000,205.614893
11230000.000000,162.961256
11238000.000000,320.888194
11246000.000000,425.116275
11254000.000000,323.303600
11262000.000000,463.946882
11270000.000000,434.346525
11278000.000000,279.799246
11286000.000000,379.190349
11294000.000000,311.586491
11302000.000000,249.418232
11310000.000000,340.144262
11318000.000000,169.873285
11326000.000000,234.036863
11334000.000000,249.383685
11342000.000000,307.564603
11350000.000000,140.197389
11358000.000000,117.939348
11366000.000000,69.369983
11374000.000000,187.720583
11382000.000000,37.094022
11390000.000000,392.097820
11398000.000000,170.197115
11406000.000000,169.234457
11414000.000000,128.689329
11422000.000000,435.612815
11430000.000000,177.305980
11438000.000000,538.811225
11446000.000000,302.157935
11454000.000000,83.144657
11462000.000000,132.257167
11470000.000000,210.983018
11478000.000000,398.933830
11486000.000000,435.915782
11494000.000000,974.137157
11502000.000000,544.690646
11510000.000000,333.307990
11518000.000000,14.485470
11526000.000000,295.194990
11534000.000000,85.994439
11542000.000000,580.173284
11550000.000000,425.514446
11558000.000000,8169.347009
11566000.000000,749.576307
11574000.000000,766.046595
11582000.000000,554.675777
11590000.000000,531.372528
11598000.000000,702.119693
11606000.000000,80.209644
11614000.000000,138.620156
11622000.000000,224.593864
11630000.000000,458.392351
11638000.000000,152.061021
11646000.000000,253.899489
11654000.000000,446.835195
11662000.000000,234.046285
11670000.000000,438.755256
11678000.000000,277.495357
11686000.000000,236.341993
11694000.000000,323.271622
11702000.000000,201.567693
11710000.000000,150.937590
11718000.000000,437.188371
11726000.000000,378.578621
11734000.000000,259.326159
11742000.000000,401.049559
11750000.000000,496.017622
11758000.000000,234.242559
11766000.000000,292.042247
11774000.000000,326.259740
11782000.000000,311.005563
11790000.000000,323.814768
11798000.000000,285.407185
11806000.000000,244.230776
11814000.000000,592.513774
11822000.000000,292.869273
11830000.000000,210.795751
11838000.000000,224.494365
11846000.000000,258.716462
11854000.000000,285.503346
11862000.000000,236.554633
11870000.000000,280.405952
11878000.000000,102.844788
11886000.000000,83.373230
11894000.000000,16.639298
11902000.000000,150.647119
11910000.000000,181.522230
11918000.000000,338.509037
11926000.000000,310.065522
11934000.000000,296.093398
11942000.000000,318.629418
11950000.000000,180.492974
11958000.000000,58.749958
11966000.000000,79.171067
11974000.000000,228.648776
11982000.000000,214.165667
11990000.000000,215.128987
11998000.000000,111.718805
12006000.000000,141.373533
12014000.000000,260.917711
12022000.000000,474.074629
12030000.000000,201.356013
12038000.000000,215.070580
12046000.000000,741.686103
12054000.000000,635.812249
12062000.000000,262.429876
12070000.000000,102.670413
