Frequency,Power
10950000.000000,45.121005
10958000.000000,100.616948
10966000.000000,444.281415
10974000.000000,127.218747
10982000.000000,143.675726
10990000.000000,125.971124
10998000.000000,31.565071
11006000.000000,82.901147
11014000.000000,129.312319
11022000.000000,193.702887
11030000.000000,232.334689
11038000.000000,156.375610
11046000.000000,201.851685
11054000.000000,212.091725
11062000.000000,129.084258
11070000.000000,141.453895
11078000.000000,21.630924
11086000.000000,49.839118
11094000.000000,62.169367
11102000.000000,187.788808
11110000.000000,126.360745
11118000.000000,73.250181
11126000.000000,149.867427
11134000.000000,263.517975
11142000.000000,924.521250
11150000.000000,518.532960
11158000.000000,194.329061
11166000.000000,255.174555
11174000.000000,159.151374
11182000.000000,139.576904
11190000.000000,174.438244
11198000.000000,258.380645
11206000.000000,88.048877
11214000.000000,98.386244
11222000.000000,55.073289
11230000.000000,34.056995
11238000.000000,58.944740
11246000.000000,52.579281
11254000.000000,86.768858
11262000.000000,70.661194
11270000.000000,340.271951
11278000.000000,141.412580
11286000.000000,76.195971
11294000.000000,42.684570
11302000.000000,259.154708
11310000.000000,21.596532
11318000.000000,198.365221
11326000.000000,252.415929
11334000.000000,514.227144
11342000.000000,175.095797
11350000.000000,60.756502
11358000.000000,75.703619
11366000.000000,82.189165
11374000.000000,95.694990
11382000.000000,72.704312
11390000.000000,25.010977
11398000.000000,49.633418
11406000.000000,74.351314
11414000.000000,145.087719
11422000.000000,96.706170
11430000.000000,272.603352
11438000.000000,377.864539
11446000.000000,179.538458
11454000.000000,131.637551
11462000.000000,180.181682
11470000.000000,141.064942
11478000.000000,145.064590
11486000.000000,109.509011
11494000.000000,181.209378
11502000.000000,175.106180
11510000.000000,140.341548
11518000.000000,145.750545
11526000.000000,210.199862
11534000.000000,103.191959
11542000.000000,260.486419
11550000.000000,65.579755
11558000.000000,40.661360
11566000.000000,145.091934
11574000.000000,58.578554
11582000.000000,151.562058
11590000.000000,62.395525
11598000.000000,195.568042
11606000.000000,159.566002
11614000.000000,149.667020
11622000.000000,316.010916
11630000.000000,327.435112
11638000.000000,222.330445
11646000.000000,573.260951
11654000.000000,1759.098421
11662000.000000,501.447307
11670000.000000,162.123694
11678000.000000,107.154402
11686000.000000,278.343734
11694000.000000,105.765861
11702000.000000,68.671007
11710000.000000,278.408552
11718000.000000,248.769940
11726000.000000,842.768300
11734000.000000,310.967268
11742000.000000,259.470272
11750000.000000,135.701652
11758000.000000,123.606613
11766000.000000,192.808436
11774000.000000,105.859530
11782000.000000,190.121046
11790000.000000,245.093788
11798000.000000,97.737704
11806000.000000,61.726375
11814000.000000,107.036541
11822000.000000,211.351098
11830000.000000,129.865393
11838000.000000,277.199263
11846000.000000,355.010827
11854000.000000,182.793215
11862000.000000,136.533705
11870000.000000,161.158725
11878000.000000,342.220402
11886000.000000,387.716388
11894000.000000,338.402992
11902000.000000,212.030527
11910000.000000,317.350971
11918000.000000,342.532048
11926000.000000,42.003492
11934000.000000,225.206368
11942000.000000,385.786135
11950000.000000,604.173532
11958000.000000,774.959733
11966000.000000,871.492015
11974000.000000,1138.793355
11982000.000000,2579.526210
11990000.000000,9522.390339
11998000.000000,5702.714114
12006000.000000,1710.341825
12014000.000000,1473.430949
12022000.000000,1315.133385
12030000.000000,939.994377
12038000.000000,645.803623
12046000.000000,537.110796
12054000.000000,485.749175
12062000.000000,433.341599
12070000.000000,740.788981
12078000.000000,452.869785
12086000.000000,507.168235
12094000.000000,454.264848
12102000.000000,538.019190
12110000.000000,449.756970
12118000.000000,439.011946
12126000.000000,336.843925
12134000.000000,426.749753
12142000.000000,256.986577
12150000.000000,369.540291
12158000.000000,252.281570
12166000.000000,504.474402
12174000.000000,231.701685
12182000.000000,383.443200
12190000.000000,30.892768
12198000.000000,367.248321
12206000.000000,377.067253
12214000.000000,232.101446
12222000.000000,315.117689
12230000.000000,295.833034
12238000.000000,339.368243
12246000.000000,261.158815
12254000.000000,352.890254
12262000.000000,265.293473
12270000.000000,190.297029
12278000.000000,198.930745
12286000.000000,407.662384
12294000.000000,349.700619
12302000.000000,6820.899156
12310000.000000,277.795567
12318000.000000,593.452747
12326000.000000,499.701488
12334000.000000,495.207314
12342000.000000,335.047346
12350000.000000,519.457687
12358000.000000,1637.105283
12366000.000000,2363.825407
12374000.000000,590.534250
12382000.000000,426.686862
12390000.000000,575.733305
12398000.000000,604.606049
12406000.000000,1047.413709
12414000.000000,898.069278
12422000.000000,320.113148
12430000.000000,540.528810
12438000.000000,570.203008
12446000.000000,1052.044965
12454000.000000,2716.825885
12462000.000000,695.592967
