Frequency,Power
10950000.000000,498.676988
10958000.000000,207.046313
10966000.000000,432.034060
10974000.000000,290.368982
10982000.000000,335.163308
10990000.000000,305.815123
10998000.000000,418.458095
11006000.000000,503.645985
11014000.000000,690.893147
11022000.000000,300.908214
11030000.000000,7456.324852
11038000.000000,1357.854686
11046000.000000,642.990520
11054000.000000,320.628468
11062000.000000,270.725822
11070000.000000,543.575760
11078000.000000,429.168902
11086000.000000,378.129392
11094000.000000,262.166370
11102000.000000,316.791645
11110000.000000,268.545358
11118000.000000,300.321711
11126000.000000,433.408289
11134000.000000,338.480386
11142000.000000,286.063286
11150000.000000,429.800878
11158000.000000,200.694170
11166000.000000,144.445528
11174000.000000,3618.564884
11182000.000000,6266.205796
11190000.000000,12078.496650
11198000.000000,3803.407547
11206000.000000,2522.735690
11214000.000000,862.037673
11222000.000000,786.235783
11230000.000000,3054.061098
11238000.000000,461.916596
11246000.000000,924.458349
11254000.000000,673.204552
11262000.000000,736.819833
11270000.000000,459.326659
11278000.000000,795.600519
11286000.000000,576.121615
11294000.000000,488.052803
11302000.000000,544.046981
11310000.000000,862.773792
11318000.000000,953.475906
11326000.000000,849.970045
11334000.000000,487.139357
11342000.000000,731.333628
11350000.000000,594.427745
11358000.000000,767.713640
11366000.000000,750.751007
11374000.000000,633.631475
11382000.000000,853.171936
11390000.000000,2589.214124
11398000.000000,680.442124
11406000.000000,678.958980
11414000.000000,326.110888
11422000.000000,1370.479513
11430000.000000,1490.109676
11438000.000000,1470.294968
11446000.000000,4609.632159
11454000.000000,4137.697680
11462000.000000,1386.721970
11470000.000000,760.543202
11478000.000000,678.088426
11486000.000000,603.695127
11494000.000000,1008.959389
11502000.000000,3053.781136
11510000.000000,18856.440745
11518000.000000,1342.785978
11526000.000000,1277.395870
11534000.000000,1508.332158
11542000.000000,1237.935736
11550000.000000,1493.594408
11558000.000000,1638.509727
11566000.000000,1781.369562
11574000.000000,5372.486058
11582000.000000,3035.648318
11590000.000000,2965.013305
11598000.000000,370.412531
11606000.000000,544.121909
11614000.000000,563.010768
11622000.000000,570.804911
11630000.000000,746.160638
11638000.000000,831.072504
11646000.000000,1072.243626
11654000.000000,1141.341282
11662000.000000,1410.877003
11670000.000000,25148.574261
11678000.000000,3028.176940
11686000.000000,2439.412525
11694000.000000,2090.694657
11702000.000000,2661.580310
11710000.000000,6950.716545
11718000.000000,2275.932424
11726000.000000,2047.778032
11734000.000000,2172.509217
11742000.000000,2160.802993
11750000.000000,2838.515943
11758000.000000,2799.052648
11766000.000000,3406.134249
11774000.000000,3690.805740
11782000.000000,4268.183283
11790000.000000,6909.227516
11798000.000000,7814.690652
11806000.000000,20283.948176
11814000.000000,19148.669804
11822000.000000,5514.537367
11830000.000000,6568.109180
11838000.000000,11225.262294
11846000.000000,36932.275003
11854000.000000,44782.870260
11862000.000000,6943.561696
11870000.000000,7237.583537
11878000.000000,3122.207040
11886000.000000,2867.161262
11894000.000000,1972.013647
11902000.000000,811.565746
11910000.000000,3619.242616
11918000.000000,1604.942034
11926000.000000,5311.076864
11934000.000000,6536.816507
11942000.000000,3071.642402
11950000.000000,2826.993285
11958000.000000,2949.597324
11966000.000000,2805.611936
11974000.000000,2460.513030
11982000.000000,4449.327694
11990000.000000,19267.325918
11998000.000000,5901.445668
12006000.000000,5274.981322
12014000.000000,6693.453226
12022000.000000,9169.894888
12030000.000000,12900.087898
12038000.000000,22129.260792
12046000.000000,67556.553041
12054000.000000,70977.462610
12062000.000000,23901.777144
12070000.000000,14427.640990
12078000.000000,10814.101496
12086000.000000,8504.779649
12094000.000000,7781.959182
12102000.000000,5896.124161
12110000.000000,5080.665321
12118000.000000,4411.456737
12126000.000000,4137.912014
12134000.000000,4045.950779
12142000.000000,3732.008737
12150000.000000,3431.327962
12158000.000000,2973.793181
12166000.000000,3218.540684
12174000.000000,2775.059382
12182000.000000,2895.462669
12190000.000000,2769.592245
12198000.000000,3131.389003
12206000.000000,2554.638006
12214000.000000,1558.050156
12222000.000000,940.312527
12230000.000000,2517.084260
12238000.000000,3489.311151
12246000.000000,3024.485922
12254000.000000,3083.418120
12262000.000000,3277.149412
12270000.000000,3639.159070
12278000.000000,3580.612923
12286000.000000,3976.536225
12294000.000000,4330.473505
12302000.000000,5218.859065
12310000.000000,7323.715550
12318000.000000,10559.866998
12326000.000000,27692.449144
12334000.000000,24183.806439
12342000.000000,9683.802732
12350000.000000,4832.811488
12358000.000000,3594.896632
12366000.000000,7114.253313
12374000.000000,6238.425252
12382000.000000,2035.893954
12390000.000000,1618.210292
12398000.000000,1475.770518
12406000.000000,889.727538
12414000.000000,955.768789
12422000.000000,965.328839
12430000.000000,629.165170
12438000.000000,440.240227
12446000.000000,566.720202
12454000.000000,466.342320
12462000.000000,569.917621
12470000.000000,721.057522
12478000.000000,585.355294
12486000.000000,1590.371277
12494000.000000,1667.943106
12502000.000000,579.667838
12510000.000000,255.179269
12518000.000000,632.962634
12526000.000000,395.035013
12534000.000000,358.816386
12542000.000000,432.083800
