Samples,Power
9386000.000000,-8
9388000.000000,2
9390000.000000,-74
9392000.000000,3
9394000.000000,52
9396000.000000,52
9398000.000000,20
9400000.000000,-32
9402000.000000,-28
9404000.000000,-71
9406000.000000,22
9408000.000000,86
9410000.000000,101
9412000.000000,-36
9414000.000000,-121
9416000.000000,-70
9418000.000000,74
9420000.000000,145
9422000.000000,26
9424000.000000,-77
9426000.000000,-181
9428000.000000,11
9430000.000000,162
9432000.000000,132
9434000.000000,-90
9436000.000000,-154
9438000.000000,10
9440000.000000,92
9442000.000000,59
9444000.000000,-68
9446000.000000,-26
9448000.000000,-2
9450000.000000,22
9452000.000000,-16
9454000.000000,-18
9456000.000000,51
9458000.000000,34
9460000.000000,32
9462000.000000,-69
9464000.000000,-72
9466000.000000,-67
9468000.000000,93
9470000.000000,98
9472000.000000,1
9474000.000000,-97
9476000.000000,-50
9478000.000000,72
9480000.000000,6
9482000.000000,-21
9484000.000000,-66
9486000.000000,10
9488000.000000,-5
9490000.000000,24
9492000.000000,13
9494000.000000,-25
9496000.000000,-8
9498000.000000,-31
9500000.000000,-13
9502000.000000,-67
9504000.000000,54
9506000.000000,58
9508000.000000,38
9510000.000000,-46
9512000.000000,-61
9514000.000000,19
9516000.000000,1
9518000.000000,1
9520000.000000,-36
9522000.000000,36
9524000.000000,51
9526000.000000,35
9528000.000000,-6
9530000.000000,-14
9532000.000000,-24
9534000.000000,-31
9536000.000000,19
9538000.000000,-5
9540000.000000,39
9542000.000000,-5
9544000.000000,78
9546000.000000,3
9548000.000000,-102
9550000.000000,-78
9552000.000000,82
9554000.000000,135
9556000.000000,-64
9558000.000000,-110
9560000.000000,-65
9562000.000000,99
9564000.000000,76
9566000.000000,3
9568000.000000,-124
9570000.000000,-123
9572000.000000,42
9574000.000000,135
9576000.000000,93
9578000.000000,-115
9580000.000000,-109
9582000.000000,-25
9584000.000000,107
9586000.000000,35
9588000.000000,-19
9590000.000000,-34
9592000.000000,-25
9594000.000000,23
9596000.000000,9
9598000.000000,61
9600000.000000,-34
9602000.000000,7
9604000.000000,11
9606000.000000,14
9608000.000000,-52
9610000.000000,-32
9612000.000000,90
9614000.000000,54
9616000.000000,1
9618000.000000,-113
9620000.000000,-17
9622000.000000,35
9624000.000000,117
9626000.000000,56
9628000.000000,-81
9630000.000000,-142
9632000.000000,-57
9634000.000000,130
9636000.000000,117
9638000.000000,25
9640000.000000,-99
9642000.000000,-33
9644000.000000,-29
9646000.000000,25
9648000.000000,43
9650000.000000,1
9652000.000000,-2
9654000.000000,-22
9656000.000000,61
9658000.000000,-17
9660000.000000,-26
9662000.000000,-6
9664000.000000,56
9666000.000000,23
9668000.000000,-69
9670000.000000,-37
9672000.000000,58
9674000.000000,148
9676000.000000,3
9678000.000000,-79
9680000.000000,-127
9682000.000000,-23
9684000.000000,81
9686000.000000,120
9688000.000000,56
9690000.000000,-107
9692000.000000,-74
9694000.000000,-12
9696000.000000,92
9698000.000000,1
9700000.000000,-50
9702000.000000,-90
9704000.000000,16
9706000.000000,87
9708000.000000,39
9710000.000000,12
9712000.000000,-90
9714000.000000,-45
9716000.000000,-27
9718000.000000,53
9720000.000000,-8
9722000.000000,20
9724000.000000,43
9726000.000000,-7
9728000.000000,-36
9730000.000000,-50
9732000.000000,75
9734000.000000,-17
9736000.000000,-36
9738000.000000,-9
9740000.000000,59
9742000.000000,33
9744000.000000,-49
9746000.000000,-32
9748000.000000,2
9750000.000000,42
9752000.000000,-52
9754000.000000,-29
9756000.000000,14
9758000.000000,79
9760000.000000,26
9762000.000000,-48
9764000.000000,-71
9766000.000000,-51
9768000.000000,85
9770000.000000,103
9772000.000000,-30
9774000.000000,-169
9776000.000000,-26
9778000.000000,119
9780000.000000,108
9782000.000000,-51
9784000.000000,-102
9786000.000000,-13
9788000.000000,41
9790000.000000,61
9792000.000000,-36
9794000.000000,-31
9796000.000000,-52
9798000.000000,30
9800000.000000,52
9802000.000000,-19
9804000.000000,-30
9806000.000000,18
9808000.000000,70
9810000.000000,-93
9812000.000000,-133
9814000.000000,-21
9816000.000000,146
9818000.000000,82
9820000.000000,-57
9822000.000000,-92
9824000.000000,-67
9826000.000000,17
9828000.000000,1
9830000.000000,98
9832000.000000,24
9834000.000000,-94
9836000.000000,-145
9838000.000000,53
9840000.000000,153
9842000.000000,32
9844000.000000,-55
9846000.000000,-140
9848000.000000,-54
9850000.000000,36
9852000.000000,208
9854000.000000,89
9856000.000000,-130
9858000.000000,-138
9860000.000000,21
9862000.000000,101
9864000.000000,-41
9866000.000000,-27
9868000.000000,38
9870000.000000,109
9872000.000000,-27
9874000.000000,-77
9876000.000000,-17
9878000.000000,35
9880000.000000,47
9882000.000000,-12
9884000.000000,-61
9886000.000000,-114
9888000.000000,53
9890000.000000,162
9892000.000000,74
9894000.000000,-194
9896000.000000,-170
9898000.000000,63
9900000.000000,117
9902000.000000,59
9904000.000000,-70
9906000.000000,-7
9908000.000000,-50
9910000.000000,-17
9912000.000000,21
9914000.000000,47
9916000.000000,2
9918000.000000,-41
9920000.000000,16
9922000.000000,-2
9924000.000000,4
9926000.000000,29
9928000.000000,104
9930000.000000,-37
9932000.000000,-115
9934000.000000,-10
9936000.000000,99
9938000.000000,64
9940000.000000,-52
9942000.000000,24
9944000.000000,11
9946000.000000,11
9948000.000000,-43
9950000.000000,51
9952000.000000,59
9954000.000000,-30
9956000.000000,-60
9958000.000000,-37
9960000.000000,35
9962000.000000,7
9964000.000000,86
9966000.000000,20
9968000.000000,-81
9970000.000000,-114
9972000.000000,93
9974000.000000,146
9976000.000000,-51
9978000.000000,-135
9980000.000000,-55
9982000.000000,134
9984000.000000,78
9986000.000000,25
9988000.000000,-102
9990000.000000,-69
9992000.000000,-14
9994000.000000,84
9996000.000000,104
9998000.000000,-37
10000000.000000,-30
10002000.000000,-6
10004000.000000,51
10006000.000000,-74
10008000.000000,-22
10010000.000000,64
10012000.000000,30
10014000.000000,-48
10016000.000000,-27
10018000.000000,104
10020000.000000,-6
10022000.000000,-28
10024000.000000,-16
10026000.000000,-2
10028000.000000,-92
10030000.000000,-50
10032000.000000,80
10034000.000000,111
10036000.000000,58
10038000.000000,-80
10040000.000000,-87
10042000.000000,-106
10044000.000000,61
10046000.000000,129
10048000.000000,83
10050000.000000,-107
10052000.000000,-159
10054000.000000,44
10056000.000000,148
10058000.000000,69
10060000.000000,-118
10062000.000000,-74
10064000.000000,-10
10066000.000000,74
10068000.000000,35
10070000.000000,17
10072000.000000,-4
10074000.000000,-32
10076000.000000,-23
10078000.000000,-82
10080000.000000,-11
10082000.000000,32
10084000.000000,168
10086000.000000,55
10088000.000000,-162
10090000.000000,-174
10092000.000000,60
10094000.000000,219
10096000.000000,7
10098000.000000,-125
10100000.000000,-132
10102000.000000,36
10104000.000000,65
10106000.000000,82
10108000.000000,-7
10110000.000000,-84
10112000.000000,-41
10114000.000000,-8
10116000.000000,59
10118000.000000,-10
10120000.000000,23
10122000.000000,-6
10124000.000000,-22
10126000.000000,-98
10128000.000000,-13
10130000.000000,163
10132000.000000,99
10134000.000000,-90
10136000.000000,-178
10138000.000000,9
10140000.000000,73
10142000.000000,38
10144000.000000,-37
10146000.000000,-27
10148000.000000,-15
10150000.000000,6
10152000.000000,32
10154000.000000,-68
10156000.000000,-34
10158000.000000,25
10160000.000000,101
10162000.000000,-41
10164000.000000,-118
10166000.000000,10
10168000.000000,130
10170000.000000,70
10172000.000000,-166
10174000.000000,-114
10176000.000000,25
10178000.000000,154
10180000.000000,65
10182000.000000,-11
10184000.000000,-65
10186000.000000,-63
10188000.000000,20
10190000.000000,56
10192000.000000,36
10194000.000000,-76
10196000.000000,-24
10198000.000000,35
10200000.000000,108
10202000.000000,37
10204000.000000,-35
10206000.000000,-83
10208000.000000,-72
10210000.000000,8
10212000.000000,71
10214000.000000,114
10216000.000000,-61
10218000.000000,-55
10220000.000000,-22
10222000.000000,24
10224000.000000,-43
10226000.000000,-66
10228000.000000,81
10230000.000000,58
10232000.000000,-11
10234000.000000,-125
10236000.000000,-13
10238000.000000,71
10240000.000000,98
10242000.000000,-32
10244000.000000,-148
10246000.000000,-93
10248000.000000,77
10250000.000000,260
10252000.000000,74
10254000.000000,-168
10256000.000000,-217
10258000.000000,56
10260000.000000,193
10262000.000000,69
10264000.000000,-72
10266000.000000,-86
10268000.000000,33
10270000.000000,32
10272000.000000,68
10274000.000000,-11
10276000.000000,-8
10278000.000000,4
10280000.000000,17
10282000.000000,-15
10284000.000000,-61
10286000.000000,49
10288000.000000,89
10290000.000000,42
10292000.000000,-121
10294000.000000,-77
10296000.000000,31
10298000.000000,114
10300000.000000,42
10302000.000000,-46
10304000.000000,-38
10306000.000000,-94
10308000.000000,3
10310000.000000,76
10312000.000000,123
10314000.000000,-37
10316000.000000,-70
10318000.000000,-67
10320000.000000,-18
10322000.000000,28
10324000.000000,89
10326000.000000,88
10328000.000000,-107
10330000.000000,-91
10332000.000000,-38
10334000.000000,116
10336000.000000,74
10338000.000000,-42
10340000.000000,-111
10342000.000000,-63
10344000.000000,77
10346000.000000,83
10348000.000000,90
10350000.000000,-66
10352000.000000,-89
10354000.000000,-75
10356000.000000,17
10358000.000000,20
10360000.000000,22
10362000.000000,86
10364000.000000,15
10366000.000000,-40
10368000.000000,-121
10370000.000000,2
10372000.000000,69
10374000.000000,60
10376000.000000,-31
10378000.000000,-79
10380000.000000,-10
10382000.000000,35
10384000.000000,117
10386000.000000,11
10388000.000000,-107
10390000.000000,-159
10392000.000000,60
10394000.000000,168
10396000.000000,70
10398000.000000,-89
10400000.000000,-118
10402000.000000,-4
10404000.000000,30
10406000.000000,70
10408000.000000,-46
10410000.000000,-63
10412000.000000,-36
10414000.000000,80
10416000.000000,85
10418000.000000,-14
10420000.000000,-68
10422000.000000,-85
10424000.000000,59
10426000.000000,25
10428000.000000,-27
10430000.000000,-57
10432000.000000,66
10434000.000000,76
10436000.000000,-10
10438000.000000,-67
10440000.000000,-107
10442000.000000,25
10444000.000000,109
10446000.000000,115
10448000.000000,-110
10450000.000000,-138
10452000.000000,-5
10454000.000000,162
10456000.000000,105
10458000.000000,-71
10460000.000000,-111
10462000.000000,-48
10464000.000000,114
10466000.000000,44
10468000.000000,25
10470000.000000,-60
10472000.000000,-47
10474000.000000,-14
10476000.000000,11
10478000.000000,62
10480000.000000,1
10482000.000000,15
10484000.000000,-61
10486000.000000,-43
10488000.000000,-31
10490000.000000,74
10492000.000000,90
10494000.000000,6
10496000.000000,-104
10498000.000000,-128
10500000.000000,32
10502000.000000,60
10504000.000000,85
10506000.000000,4
10508000.000000,-3
10510000.000000,-92
10512000.000000,-50
10514000.000000,109
10516000.000000,83
10518000.000000,4
10520000.000000,-130
10522000.000000,-47
10524000.000000,-10
10526000.000000,122
10528000.000000,142
10530000.000000,18
10532000.000000,-128
10534000.000000,-150
10536000.000000,26
10538000.000000,111
10540000.000000,85
10542000.000000,-39
10544000.000000,-30
10546000.000000,-37
10548000.000000,-18
10550000.000000,5
10552000.000000,46
10554000.000000,5
10556000.000000,-82
10558000.000000,3
10560000.000000,26
10562000.000000,27
10564000.000000,-34
10566000.000000,22
10568000.000000,-12
10570000.000000,-38
10572000.000000,-38
10574000.000000,-20
10576000.000000,66
10578000.000000,69
10580000.000000,73
10582000.000000,-74
10584000.000000,-96
10586000.000000,-81
10588000.000000,92
10590000.000000,171
10592000.000000,-8
10594000.000000,-141
10596000.000000,-64
10598000.000000,162
10600000.000000,92
10602000.000000,4
10604000.000000,-98
10606000.000000,-69
10608000.000000,8
10610000.000000,92
10612000.000000,74
10614000.000000,-82
10616000.000000,-42
10618000.000000,-1
10620000.000000,65
10622000.000000,-23
10624000.000000,-18
10626000.000000,22
10628000.000000,43
10630000.000000,-21
10632000.000000,-85
10634000.000000,7
10636000.000000,34
10638000.000000,63
10640000.000000,-18
10642000.000000,-27
10644000.000000,-76
10646000.000000,-4
10648000.000000,109
10650000.000000,53
10652000.000000,-50
10654000.000000,-139
10656000.000000,40
10658000.000000,88
10660000.000000,80
10662000.000000,-53
10664000.000000,-91
10666000.000000,-58
10668000.000000,-17
10670000.000000,118
10672000.000000,107
10674000.000000,1
10676000.000000,-150
10678000.000000,-31
10680000.000000,45
10682000.000000,19
10684000.000000,-35
10686000.000000,8
10688000.000000,4
10690000.000000,-42
10692000.000000,53
10694000.000000,42
10696000.000000,12
10698000.000000,-74
10700000.000000,-26
10702000.000000,-24
10704000.000000,-15
10706000.000000,40
10708000.000000,71
10710000.000000,72
10712000.000000,-61
10714000.000000,-99
10716000.000000,-75
10718000.000000,73
10720000.000000,68
10722000.000000,66
10724000.000000,13
10726000.000000,-90
10728000.000000,-76
10730000.000000,-3
10732000.000000,111
10734000.000000,-6
10736000.000000,-42
10738000.000000,-74
10740000.000000,-22
10742000.000000,29
10744000.000000,110
10746000.000000,99
10748000.000000,-96
10750000.000000,-155
10752000.000000,-124
10754000.000000,105
10756000.000000,105
10758000.000000,53
10760000.000000,-65
10762000.000000,-72
10764000.000000,-40
10766000.000000,-2
10768000.000000,85
10770000.000000,-8
10772000.000000,-20
10774000.000000,-50
10776000.000000,19
10778000.000000,3
10780000.000000,-12
10782000.000000,45
10784000.000000,33
10786000.000000,-8
10788000.000000,-119
10790000.000000,-10
10792000.000000,85
10794000.000000,138
10796000.000000,-20
10798000.000000,-133
10800000.000000,-86
10802000.000000,27
10804000.000000,110
10806000.000000,60
10808000.000000,-32
10810000.000000,-139
10812000.000000,-24
10814000.000000,66
10816000.000000,92
10818000.000000,-31
10820000.000000,-55
10822000.000000,-15
10824000.000000,-2
10826000.000000,27
10828000.000000,-19
10830000.000000,5
10832000.000000,-42
10834000.000000,38
10836000.000000,29
10838000.000000,20
10840000.000000,-17
10842000.000000,-28
10844000.000000,63
10846000.000000,0
10848000.000000,-39
10850000.000000,-59
10852000.000000,46
10854000.000000,81
10856000.000000,84
10858000.000000,-6
10860000.000000,-101
10862000.000000,-62
10864000.000000,46
10866000.000000,148
10868000.000000,-8
10870000.000000,-69
10872000.000000,-101
10874000.000000,66
10876000.000000,134
10878000.000000,19
10880000.000000,-107
10882000.000000,-143
10884000.000000,56
10886000.000000,90
10888000.000000,106
10890000.000000,-43
10892000.000000,-55
10894000.000000,-60
10896000.000000,-2
10898000.000000,24
10900000.000000,-30
10902000.000000,41
10904000.000000,19
10906000.000000,27
10908000.000000,-59
10910000.000000,-2
10912000.000000,59
10914000.000000,45
10916000.000000,-44
10918000.000000,-105
10920000.000000,-16
10922000.000000,57
10924000.000000,135
10926000.000000,26
10928000.000000,-36
10930000.000000,-105
10932000.000000,-23
10934000.000000,23
10936000.000000,60
10938000.000000,71
10940000.000000,-3
10942000.000000,-26
10944000.000000,-116
10946000.000000,-8
10948000.000000,71
10950000.000000,134
10952000.000000,-11
10954000.000000,-147
10956000.000000,-88
10958000.000000,63
10960000.000000,148
10962000.000000,7
10964000.000000,-80
10966000.000000,-99
10968000.000000,12
10970000.000000,34
10972000.000000,32
10974000.000000,-30
10976000.000000,-6
10978000.000000,46
10980000.000000,-28
10982000.000000,-71
10984000.000000,-64
10986000.000000,128
10988000.000000,79
